,City,Lat,Lng,Temp,Humidity,WindSpeed,Cloudiness
0,hobart,-42.88,147.33,53.87,58,12.75,75
1,tiksi,71.64,128.87,40.18,91,6.8,65
2,yulara,-25.24,130.99,62.6,10,9.04,0
3,grand gaube,-20.01,57.66,70.72,78,2.24,75
4,hasaki,35.73,140.83,71.1,94,8.05,75
5,kavieng,-2.57,150.8,83.38,77,10.92,54
6,pirot,43.16,22.59,62.6,72,10.29,0
7,skibbereen,51.55,-9.27,53.6,87,11.41,40
8,havre,48.55,-109.68,82.51,15,9.17,1
9,pueblo,38.25,-104.61,81.95,22,16.11,1
10,vilyuysk,63.75,121.63,44.68,77,2.53,24
11,saskylakh,71.97,114.09,43.42,72,9.71,99
12,soledade,-7.06,-36.37,69.8,88,8.05,75
13,sarkikaraagac,38.08,31.37,66.82,57,3.78,1
14,herat,34.35,62.22,68.0,24,3.36,0
15,stromness,42.87,-79.55,72.12,94,11.41,75
16,praia,-20.25,-43.81,77.81,39,3.06,0
17,shirokiy,53.87,39.17,53.86,71,6.89,8
18,calama,-22.46,-68.93,62.6,20,16.11,0
19,tessalit,20.2,1.01,94.54,26,4.88,92
20,hambantota,6.12,81.12,80.5,82,14.7,97
21,shepsi,44.04,39.15,73.66,70,8.59,0
22,catuday,16.29,119.81,82.84,82,23.04,100
23,voorst,52.17,6.14,59.22,82,6.93,90
24,saldanha,41.42,-6.55,71.14,37,2.01,0
25,kahului,20.89,-156.47,82.6,52,23.04,40
26,narbonne,43.18,3.0,64.29,48,4.7,0
27,krasnoshchekovo,51.67,82.73,45.4,64,3.09,73
28,mahebourg,-20.41,57.7,70.36,78,2.24,75
29,constitucion,23.99,-104.67,72.0,55,1.01,24
30,norden,53.59,7.21,59.4,82,6.93,26
31,frontera,18.53,-92.64,84.64,72,6.69,13
32,mouzouras,35.53,24.15,78.71,78,4.7,0
33,lokosovo,61.13,74.84,47.92,94,5.97,90
34,ilulissat,69.22,-51.1,48.2,45,19.46,24
35,alihe,50.57,123.73,62.86,92,0.96,61
36,kysyl-syr,63.9,122.77,45.4,81,2.39,1
37,el alto,-16.5,-68.19,46.4,52,13.87,40
38,vao,59.1,26.19,49.36,93,6.04,59
39,concarneau,47.88,-3.92,52.61,93,4.7,0
40,chara,39.42,22.43,67.08,72,1.66,20
41,toledo,39.86,-4.02,77.23,28,5.1,47
42,tura,64.27,100.22,49.18,88,5.75,100
43,oistins,13.07,-59.53,82.4,74,19.46,40
44,verkhnyaya inta,65.99,60.32,42.88,90,7.09,6
45,korostyshiv,50.32,29.06,54.58,82,11.56,100
46,bahawalpur,29.39,71.66,88.6,52,1.68,62
47,camacha,33.08,-16.33,68.77,73,6.93,20
48,izumo,35.37,132.75,77.0,88,9.17,75
49,hithadhoo,-0.6,73.08,82.84,77,12.19,2
50,laguna,16.17,-88.94,86.0,70,4.7,20
51,ucluelet,48.94,-125.55,67.93,93,4.7,75
52,east london,-33.02,27.91,52.06,81,5.64,0
53,cardston,49.2,-113.32,80.11,24,11.41,1
54,kodiak,39.95,-94.76,83.03,70,5.82,1
55,yellowknife,62.45,-114.38,50.0,71,8.05,75
56,tadine,-21.55,167.88,70.6,58,9.55,0
57,trelew,-43.25,-65.31,34.06,73,18.75,67
58,shimoda,34.7,138.93,75.74,88,11.41,75
59,leshukonskoye,64.9,45.76,51.88,93,5.46,15
60,nacozari,25.34,-108.26,90.68,62,1.99,93
61,santa maria,-16.02,-48.01,75.72,32,8.05,0
62,rikitea,-23.12,-134.97,71.68,89,15.21,100
63,merauke,-8.49,140.4,75.1,83,17.18,93
64,minuri,16.54,121.86,80.5,72,2.77,99
65,rawson,-43.3,-65.11,34.06,73,18.75,67
